"region_code","name"
"FLA1","Anvers"
"FLA1","Brabant Flamand"
"WAL1","Brabant Wallon"
"BRU1","Bruxelles"
"FLA1","Flandre-Occidentale"
"FLA1","Flandre-Orientale"
"WAL1","Hainaut"
"WAL1","Liège"
"FLA1","Limbourg"
"WAL1","Luxembourg"
"WAL1","Namur"
