id,editor_id,created_by_id,players_min_id,updated_by_id,players_max_id,duration_game_id,updated_at,image,name,initeditor,year,slug,is_deliverable,is_occasion,weigth,age,ht_price,is_deee,is_online,created_at,content,content_message,rvj2id,linktopresentationvideo
1475,55,599,2,NULL,4,1,2024-11-10 21:15:21,trap-tartine_1475.png,TRAP TARTINE,SPLASH TOYS,NULL,TRAP-TARTINE,0,0,0,4,800,1,1,2023-05-11 21:59:09,"1 grille-pain en plusieurs parties : 
- 1 corps
- 2 cuillères-pieds
- 2 fourchettes-bras
- 2 tasses-yeux
- 1 planche d&#039;autocollants
4 tartines en plastique
4 assiettes en carton de 4 couleurs différentes
4 poêles
20 cartes tartines (4 miels, 4 chocolats, 4 confitures, 4 oeufs, 2 poissons pourris, 2 jokers)
1 règle du jeu",NULL,1475,NULL
1476,29,599,2,NULL,4,1,2024-11-10 21:15:21,loto-animaux_1476.png,LOTO ANIMAUX,DJECO,NULL,LOTO-ANIMAUX,0,0,0,2,400,1,1,2023-05-14 19:49:35,"5 planches
30 tuiles",NULL,1476,NULL
1477,11,599,2,NULL,4,1,2024-11-10 21:15:22,dnnlir-phone_1477.png,DÉLIR&#039;PHONE,RAVENSBURGER,2002,DELIR-and-039-PHONE,0,0,0,8,800,1,1,2023-05-16 20:21:07,"1 téléphone factice
55 cartes &quot;Situation&quot;
55 cartes &quot;Mots secrets&quot;
39 jetons &quot;Chat Points&quot; pour une valeur de 163 unités
5 crayons
1 bloc de papier
3 dés spéciaux
1 règle du jeu",NULL,1477,NULL
1478,18,599,2,NULL,4,1,2024-11-10 21:15:22,match-contre-la-montre_1478.png,MATCH CONTRE LA MONTRE,GAY PLAY,1980,MATCH-CONTRE-LA-MONTRE,0,0,0,6,1000,1,1,2023-05-16 20:35:09,"1 plateau de jeu avec minuteur
25 éléments de forme géométrique
1 règle du jeu",NULL,1478,NULL
1479,11,599,2,NULL,4,1,2024-11-10 21:15:22,croque-carotte_1479.png,CROQUE-CAROTTE,RAVENSBURGER,2013,CROQUE-CAROTTE,0,1,766,4,1200,1,0,2023-05-20 20:12:16,"1 colline avec des trous mobiles, une taupe, un pont levis, un tourniquet et une carotte tournante
16 lapins de 4 couleurs différentes
48 cartes :
- 12 cartes CLIC !
- 18 cartes 1
- 12 cartes 2
- 6 cartes 3 
1 règle du jeu",NULL,1479,NULL
1480,36,599,2,NULL,4,1,2024-11-10 21:15:22,jeu-de-familles-4-en-1-disney-animaux_1480.png,JEU DE FAMILLES 4 EN 1 - DISNEY ANIMAUX,CARTAMUNDI,NULL,JEU-DE-FAMILLES-4-EN-1-DISNEY-ANIMAUX,0,0,0,4,200,1,1,2023-06-04 20:57:56,"33 cartes
Règles du jeu",NULL,1480,NULL
1481,49,599,2,NULL,4,1,2024-11-10 21:15:22,trivial-pursuit-normandie_1481.png,TRIVIAL PURSUIT NORMANDIE,WINNING MOVES,2003,TRIVIAL-PURSUIT-NORMANDIE,0,0,0,14,800,1,1,2023-06-05 03:13:32,"1 plateau
500 cartes questions-réponses
2 boîtiers à cartes
1 dé
6 camemberts
36 triangles marqueurs de couleur
1 règle du jeu",NULL,1481,NULL
1482,12,599,2,NULL,4,1,2024-11-10 21:15:22,triominos-voyager_1482.png,TRIOMINOS - VOYAGER,GOLIATH,NULL,TRIOMINOS-VOYAGER,0,0,0,6,400,1,1,2023-06-05 03:49:24,"56 plaques triangulaires
1 règle du jeu",NULL,1482,NULL
1483,5,599,2,NULL,4,1,2024-11-10 21:15:22,bug-doku_1483.png,BUG DOKU,GIGAMIC,2007,BUG-DOKU,0,0,0,8,500,1,1,2023-06-05 21:08:48,"81 tuiles magnétiques
1 livret de règle comprenant 100 grilles de jeu",NULL,1483,NULL
1484,217,599,2,NULL,4,1,2024-11-10 21:15:22,fol-english_1484.png,FOL ENGLISH,ANATON&#039;S EDITIONS,NULL,FOL-ENGLISH,0,0,0,7,700,1,0,2023-06-06 20:50:38,"1 buzzer
1 plateau
80 cartes
196 lettres de couleur
4 sachets de rangement
1 règle du jeu",NULL,1484,NULL
