"ville_id","ville_code_postal","ville_nom","lng","lat","province"
"358","3530","Houthalen-Helchteren","5.3713044000000","51.028181800000","Limbourg"
"359","5521","Serville","4.7806526000000","50.250075400000","Namur"
"360","3540","Herk-De-Stad","5.1884301868953","50.922291100000","Limbourg"
"361","5522","Falaen","4.7933570000000","50.278215600000","Namur"
"362","3540","Schulen","5.1716729496880","50.953336400000","Limbourg"
"363","5530","Godinne","4.8759870000000","50.350528100000","Namur"
"364","3580","Beringen","5.2208090823008","51.050202600000","Limbourg"
"365","5530","Purnode","4.9455473000000","50.314289600000","Namur"
"366","3620","Gellik","5.6091315000000","50.883945600000","Limbourg"
"367","5550","Alle","4.9726784000000","49.842120700000","Namur"
"368","3620","Neerharen","5.6809820000000","50.907778000000","Limbourg"
"369","5550","Bohan","4.8860106000000","49.864219000000","Namur"
"370","3630","Mechelen-Aan-De-Maas","5.6456979557208","50.976400200000","Limbourg"
"371","5550","Laforet","4.9294849000000","49.863912500000","Namur"
"372","3631","Boorsem","5.7147232000000","50.940885800000","Limbourg"
"373","5550","Vresse-Sur-Semois","4.9340633000000","49.872976900000","Namur"
"374","3640","Kinrooi","5.7414564606985","51.143133250000","Limbourg"
"375","5555","Gros-Fays","4.9830915000000","49.869524000000","Namur"
"376","3670","Ellikom","5.5289463613944","51.130347900000","Limbourg"
"377","5555","Oizy","5.0089274000000","49.893486800000","Namur"
"378","3670","Neerglabbeek","5.6181697688959","51.096779950000","Limbourg"
"379","5560","Finnevaux","4.9452635000000","50.158167100000","Namur"
"380","3690","Zutendaal","5.5725548000000","50.931899200000","Limbourg"
"381","5560","Mesnil-Saint-Blaise","4.8854633000000","50.167176300000","Namur"
"382","3700","Lauw","5.4147831000000","50.739912400000","Limbourg"
"383","5570","Baronville","4.9468551000000","50.126220600000","Namur"
"384","3700","Neerrepen","5.4449386000000","50.812131900000","Limbourg"
"385","5575","Bourseigne-Vieille","4.8711980000000","50.022103200000","Namur"
"386","3700","Piringen","5.4198462000000","50.787392800000","Limbourg"
"387","5575","Louette-Saint-Denis","4.9572488000000","49.958914700000","Namur"
"388","3700","Vreren","5.4956960000000","50.752029300000","Limbourg"
"389","5575","Louette-Saint-Pierre","4.9276767000000","49.960145000000","Namur"
"390","3700","Widooie","5.4097010000000","50.771909200000","Limbourg"
"391","5580","Buissonville","5.1958839000000","50.217218300000","Namur"
"392","3717","Herstappe","5.4260923000000","50.727382900000","Limbourg"
"393","5580","Lessive","5.1458087816947","50.138004850000","Namur"
"394","3723","Guigoven","5.4005632276197","50.842552350000","Limbourg"
"395","5590","Achêne","5.0458772000000","50.266864400000","Namur"
"396","3724","Vliermaal","5.4259091735787","50.832602900000","Limbourg"
"397","5590","Conneux","5.0603857000000","50.249615300000","Namur"
"398","3730","Werm","5.4804957000000","50.833566500000","Limbourg"
"399","5590","Haversin","5.2088710000000","50.253105100000","Namur"
"400","3740","Grote-Spouwen","5.5538483000000","50.832524000000","Limbourg"
"401","5590","Serinchamps","5.2343634000000","50.231926900000","Namur"
"402","3770","Membruggen","5.5391564000000","50.817813300000","Limbourg"
"403","5590","Sovet","5.0349178000000","50.296303000000","Namur"
"404","3770","Vlijtingen","5.5895873000000","50.832914600000","Limbourg"
"405","5600","Philippeville","4.5449033000000","50.195588000000","Namur"
"406","3790","Fouron-Saint-Martin","5.8429342279842","50.740878350000","Limbourg"
"407","5600","Romedenne","4.6979645000000","50.172405600000","Namur"
"408","3790","Fourons","5.8390527122070","50.746589800000","Limbourg"
"409","5600","Surice","4.6962604000000","50.182464600000","Namur"
"410","3792","Fouron-Saint-Pierre","5.8242427123549","50.728302650000","Limbourg"
"411","5620","Hemptinne-Lez-Florennes","4.5631279000000","50.228273800000","Namur"
"412","3793","Teuven","5.8695304694514","50.753222250000","Limbourg"
"413","5620","Saint-Aubin","4.5778492000000","50.246925300000","Namur"
"414","3800","Zepperen","5.2579163290148","50.840318000000","Limbourg"
"415","5630","Silenrieux","4.4103561000000","50.225130200000","Namur"
"416","3831","Herten","5.3322359627296","50.827047850000","Limbourg"
"417","5650","Castillon","4.3528279000000","50.247281300000","Namur"
"418","3840","Broekom","5.3324575000000","50.781907100000","Limbourg"
"419","5650","Clermont","4.3173399000000","50.259885300000","Namur"
"420","3840","Kolmont","5.4206775000000","50.802741600000","Limbourg"
"421","5650","Fontenelle","4.3827342000000","50.249012200000","Namur"
"422","3840","Kuttekoven","5.3310338354044","50.814083300000","Limbourg"
"423","5650","Vogenée","4.4523592000000","50.239895500000","Namur"
"424","3850","Binderveld","5.1684479293466","50.865482950000","Limbourg"
"425","5651","Gourdinne","4.4565970000000","50.289958800000","Namur"
"426","3850","Kozen","5.2414389000000","50.875290900000","Limbourg"
"427","5651","Somzée","4.4829777000000","50.295161300000","Namur"
"428","3850","Nieuwerkerken","5.1909741787579","50.874575450000","Limbourg"
"429","5651","Thy-Le-Château","4.4278716000000","50.282700400000","Namur"
"430","3870","Mettekoven","5.2896635000000","50.780305300000","Limbourg"
"431","5660","Aublain","4.4090395000000","50.067229700000","Namur"
"432","3890","Gingelom","5.1325789475434","50.751383800000","Limbourg"
"433","5660","Brûly","4.5296813000000","49.969590600000","Namur"
"434","3890","Kortijs","5.1485502564418","50.705279300000","Limbourg"
"435","5660","Frasnes","4.5105493000000","50.079614400000","Namur"
"436","3890","Montenaken","5.1386239079133","50.718381250000","Limbourg"
"437","5660","Gonrieux","4.4236449000000","50.037401800000","Namur"
"438","3891","Borlo","5.1743785728014","50.734517400000","Limbourg"
"439","5660","Pesche","4.4584819000000","50.043126700000","Namur"
"440","3920","Lommel","5.3076895000000","51.230565700000","Limbourg"
"441","5660","Petigny","4.5324267000000","50.058382100000","Namur"
"442","3940","Hechtel-Eksel","5.3415643775263","51.116646350000","Limbourg"
"443","5670","Mazée","4.6964875000000","50.100880500000","Namur"
"444","3945","Ham","5.1781109743218","51.114171450000","Limbourg"
"445","5680","Soulme","4.7367955000000","50.187342300000","Namur"
"446","3960","Bree","5.6229805058514","51.138623900000","Limbourg"
"447","6020","Dampremy","4.4322464000000","50.418618100000","Hainaut"
"448","3971","Heppen","5.2265355962879","51.115827250000","Limbourg"
"449","6032","Mont-Sur-Marchienne","4.4046365000000","50.390204600000","Hainaut"
"450","4031","Angleur","5.5954054000000","50.612816400000","Liège"
"451","6111","Landelies","4.3496404000000","50.377822000000","Hainaut"
"452","4041","Milmort","5.5929155000000","50.690463200000","Liège"
